mode,delta_E_real,delta_E_imag,omega_cavity
0,0.03632102041471661,-0.0005593201390400477,0.1765685765066799
1,0.03706115082192918,0.0,0.17730870691389247
2,0.03887308690475242,0.0,0.1791206429967157
3,0.039191202610054994,0.0,0.17943875870201828
4,0.03981796667984864,0.0,0.18006552277181193
5,0.040588185423912945,-0.002599223625841471,0.18083574151587622
6,0.040588185423912945,0.002599223625841471,0.18083574151587622
7,0.04064747550366845,0.0,0.18089503159563175
8,0.041194965232119164,0.0,0.18144252132408245
9,0.0426075827688268,0.0,0.18285513886079008
