mode,omega,delta_E,ipr,n_nodes_approx,symmetry_breaking,max_amplitude
0,0.1765685765066799,0.03632102041471661,0.10083870149674103,21,2.3671750102707816,0.4552297962620149
1,0.17730870691389247,0.03706115082192918,0.13542263443681796,27,1.8023121830271323,0.5536193423646955
2,0.1791206429967157,0.03887308690475242,0.11873738159778775,28,2.098701652079847,0.5513605716605496
3,0.17943875870201828,0.039191202610054994,0.07494978819538195,20,2.3392923652202606,0.4353588710003574
4,0.18006552277181193,0.03981796667984864,0.11011136001679807,32,1.9202754454551743,0.46475879817753507
5,0.18083574151587622,0.040588185423912945,0.04694755235676807,7,2.3439090500715163,0.3446870704297594
6,0.18083574151587622,0.040588185423912945,0.04694755235676807,7,2.3439090500715163,0.3446870704297594
7,0.18089503159563175,0.04064747550366845,0.196190661660251,35,1.9061249965608535,0.5552611959015262
8,0.18144252132408245,0.041194965232119164,0.10576095815885302,26,2.9924461828738322,0.4570263909963192
9,0.18285513886079008,0.0426075827688268,0.14104336876392787,32,2.6103882762081003,0.5600494921141876
