mode,delta_E_EA,delta_E_PT1,difference,rel_error
0,0.03632102041471661,0.035187594364808686,0.001133426049907925,0.03120578763939907
1,0.03706115082192918,0.036089466588618675,0.0009716842333105033,0.026218404225471465
2,0.03887308690475242,0.03757113460175509,0.0013019523029973307,0.03349238269107362
3,0.039191202610054994,0.037957423988231785,0.0012337786218232089,0.03148100950356312
4,0.03981796667984864,0.03846788839099707,0.0013500782888515722,0.033906258943524344
5,0.040588185423912945,0.03965762051267855,0.0009305649112343953,0.022926989751213253
6,0.040588185423912945,0.03965762051267855,0.0009305649112343953,0.022926989751213253
7,0.04064747550366845,0.039531282933990705,0.0011161925696777444,0.027460317174605533
8,0.041194965232119164,0.0398848331940827,0.0013101320380364614,0.03180320776226724
9,0.0426075827688268,0.04173603958010931,0.0008715431887174885,0.020455119302265137
