lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,4,0,Γ,0.00000000,0.47574767,min,1.99310026,0.02646470,1.41725823e-08,0.03403666,0.09487213,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,4,19,b1/2,0.50000000,0.52826351,max,-0.64278219,0.04419637,4.19774004e-07,0.06026392,0.02163547,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,4,38,b2/2,1.20710678,0.52826350,max,-0.64278117,-0.04419634,4.19773427e-07,0.06026390,0.02163551,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,4,57,Γ,1.70710678,0.47574767,min,1.99311476,-0.02646371,1.41757456e-08,0.03403666,0.09487213,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,5,0,Γ,0.00000000,0.57061980,max,-1.19893203,-0.05675437,3.63410782e-08,0.09487213,0.02077652,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,5,19,b1/2,0.50000000,0.54989898,min,1.01465927,-0.04409721,3.81684672e-07,0.02163547,0.11469117,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,5,38,b2/2,1.20710678,0.54989901,min,1.01465829,0.04409719,3.81685864e-07,0.02163551,0.11469116,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,5,57,Γ,1.70710678,0.57061980,max,-1.19886455,0.05675904,3.63173425e-08,0.09487213,0.02077653,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,6,0,Γ,0.00000000,0.59139633,min,1.29558657,0.05797197,3.86366034e-08,0.02077652,0.09025376,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,6,57,Γ,1.70710678,0.59139633,min,1.29562115,-0.05796952,3.86470896e-08,0.02077653,0.09025375,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,7,0,Γ,0.00000000,0.68165008,max,-1.39702782,-0.06934450,5.49831869e-08,0.09025376,0.00000000,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,5.50000000,TM,7,57,Γ,1.70710678,0.68165008,max,-1.39651134,0.06937986,5.47555368e-08,0.09025375,0.00000000,,,path,bands_r0.172_eps5.50.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,9.00000000,TM,4,0,Γ,0.00000000,0.37395636,min,1.48728710,0.01774679,6.52747860e-09,0.02813815,0.07294367,,,path,bands_r0.172_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,9.00000000,TM,4,57,Γ,1.70710678,0.37395636,min,1.48728909,-0.01774665,6.52774132e-09,0.02813815,0.07294367,,,path,bands_r0.172_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,9.00000000,TM,7,0,Γ,0.00000000,0.53381205,max,-1.04338798,-0.04355062,2.48867350e-08,0.06921269,0.00000000,,,path,bands_r0.172_eps9.00.png
oblique,1.00000000,0.00000000,-0.20837781,1.18176930,0.17250000,9.00000000,TM,7,57,Γ,1.70710678,0.53381205,max,-1.04329546,0.04355712,2.48607283e-08,0.06921269,0.00000000,,,path,bands_r0.172_eps9.00.png
