lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,2.00000000,TM,3,38,M,1.00000000,0.54277704,min,4.17864870,0.01638074,3.10767889e-06,0.03974687,0.57528800,,,path,bands_r0.172_eps2.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,5.50000000,TM,3,38,M,1.00000000,0.34479825,min,2.04198754,0.00429613,2.34671456e-07,0.04035825,0.32943164,,,path,bands_r0.172_eps5.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,5.50000000,TM,4,0,Γ,0.00000000,0.47076986,min,2.00994012,0.02006151,8.86271910e-09,0.03742668,0.13578814,,,path,bands_r0.172_eps5.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,5.50000000,TM,4,57,Γ,1.70710678,0.47076986,min,1.16128959,-0.05860325,8.31447229e-08,0.03742668,0.13578814,,,path,bands_r0.172_eps5.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,5.50000000,TM,5,19,X,0.50000000,0.52791743,min,1.73730595,0.07097632,4.14318123e-07,0.03610600,0.12691502,,,path,bands_r0.172_eps5.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,9.00000000,TM,3,38,M,1.00000000,0.27260795,min,1.52418175,0.00279294,1.04000867e-07,0.03442981,0.25446372,,,path,bands_r0.172_eps9.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,9.00000000,TM,4,0,Γ,0.00000000,0.37038827,min,1.50212558,0.01305561,3.81635830e-09,0.03122408,0.10398862,,,path,bands_r0.172_eps9.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,9.00000000,TM,4,57,Γ,1.70710678,0.37038827,min,0.89288082,-0.04128031,4.40050145e-08,0.03122408,0.10398861,,,path,bands_r0.172_eps9.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,9.00000000,TM,5,19,X,0.50000000,0.41567835,min,1.28382775,0.05334300,2.45595186e-07,0.03031687,0.09693129,,,path,bands_r0.172_eps9.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,12.50000000,TM,3,38,M,1.00000000,0.23245968,min,1.26754689,0.00218595,6.52844039e-08,0.03028969,0.21477618,,,path,bands_r0.172_eps12.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,12.50000000,TM,4,0,Γ,0.00000000,0.31513548,min,1.24965139,0.01026286,2.37234193e-09,0.02719667,0.08746344,,,path,bands_r0.172_eps12.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,12.50000000,TM,4,57,Γ,1.70710678,0.31513548,min,0.75125856,-0.03352610,2.97630248e-08,0.02719667,0.08746345,,,path,bands_r0.172_eps12.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,12.50000000,TM,5,19,X,0.50000000,0.35379225,min,1.06277205,0.04451684,1.74675119e-07,0.02647320,0.08142386,,,path,bands_r0.172_eps12.50.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,16.00000000,TM,3,38,M,1.00000000,0.20603568,min,1.10782603,0.00184647,4.72715341e-08,0.02730670,0.18926906,,,path,bands_r0.172_eps16.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,16.00000000,TM,4,0,Γ,0.00000000,0.27895779,min,1.09237658,0.00869881,1.70956389e-09,0.02438022,0.07693065,,,path,bands_r0.172_eps16.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,16.00000000,TM,4,57,Γ,1.70710678,0.27895779,min,0.66070523,-0.02892724,2.24550352e-08,0.02438022,0.07693066,,,path,bands_r0.172_eps16.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.17250000,16.00000000,TM,5,19,X,0.50000000,0.31323774,min,0.92641044,0.03898956,1.35562881e-07,0.02376346,0.07156577,,,path,bands_r0.172_eps16.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.26500000,2.00000000,TM,3,38,M,1.00000000,0.59611353,min,3.19198739,0.00352730,4.06346506e-07,0.08132451,0.52340245,,,path,bands_r0.265_eps2.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.26500000,2.00000000,TM,4,0,Γ,0.00000000,0.79301124,min,3.57872484,0.05287507,5.21643134e-08,0.05546522,0.23807879,,,path,bands_r0.265_eps2.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.26500000,2.00000000,TM,7,38,M,1.00000000,1.17726850,min,0.53855284,0.05934513,5.07943090e-06,0.05215932,0.00000000,,,path,bands_r0.265_eps2.00.png
rectangular,1.00000000,0.00000000,0.00000000,1.50000000,0.26500000,5.50000000,TM,3,38,M,1.00000000,0.40843928,min,1.32354156,0.00002521,1.51836657e-08,0.09263695,0.26715095,,,path,bands_r0.265_eps5.50.png
