lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,5.50000000,TM,6,57,Γ,1.34408252,0.51734184,min,1.80797072,-0.02713796,1.05444701e-08,0.02386364,0.33547216,,,path,bands_r0.080_eps5.50.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,9.00000000,TM,1,38,K,0.87267800,0.25904767,min,2.43260669,0.07412358,1.53858129e-06,0.12944086,0.08081394,,,path,bands_r0.080_eps9.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,9.00000000,TM,6,0,Γ,0.00000000,0.40602859,min,2.07335832,0.05576481,4.16778144e-08,0.02018708,0.26064773,,,path,bands_r0.080_eps9.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,9.00000000,TM,6,57,Γ,1.34408252,0.40602859,min,1.36640980,-0.01818502,4.90232371e-09,0.02018708,0.26064750,,,path,bands_r0.080_eps9.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,12.50000000,TM,1,38,K,0.87267800,0.21987600,min,2.06402379,0.06290501,1.10785317e-06,0.10986271,0.06851789,,,path,bands_r0.080_eps12.50.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,12.50000000,TM,6,38,K,0.87267800,0.43987969,max,-1.81235930,-0.07528994,9.33617314e-07,0.04080315,0.03521171,,,path,bands_r0.080_eps12.50.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,16.00000000,TM,1,38,K,0.87267800,0.19437781,min,1.82429220,0.05560509,8.65536031e-07,0.09711987,0.06053462,,,path,bands_r0.080_eps16.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.08000000,16.00000000,TM,6,38,K,0.87267800,0.38887083,max,-1.60034516,-0.06650387,7.27733916e-07,0.03604524,0.03106297,,,path,bands_r0.080_eps16.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.17250000,2.00000000,TM,6,0,Γ,0.00000000,0.91794398,min,3.50222579,0.04121901,3.01684477e-08,0.08264630,0.49927081,,,path,bands_r0.172_eps2.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.17250000,2.00000000,TM,6,57,Γ,1.34408252,0.91794398,min,2.02916677,-0.01113121,2.21570471e-09,0.08264630,0.49927062,,,path,bands_r0.172_eps2.00.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.17250000,5.50000000,TM,6,0,Γ,0.00000000,0.59669385,min,1.50527012,0.00739038,1.12824814e-09,0.08655189,0.25891355,,,path,bands_r0.172_eps5.50.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.17250000,5.50000000,TM,6,57,Γ,1.34408252,0.59669385,min,0.80638835,-0.00173361,5.81010277e-11,0.08655189,0.25891360,,,path,bands_r0.172_eps5.50.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.17250000,5.50000000,TM,7,19,M,0.50000000,0.69726617,min,2.97416699,0.04297537,1.24389673e-06,0.02719605,0.00000000,,,path,bands_r0.172_eps5.50.png
triangular,1.00000000,0.00000000,0.50000000,0.86602540,0.17250000,9.00000000,TM,1,38,K,0.87267800,0.26724020,min,2.36579215,0.07539321,1.49651798e-06,0.13279563,0.07909537,,,path,bands_r0.172_eps9.00.png
